run_id,experiment,status,started_at,completed_at,elapsed_seconds,run_directory,notes
20260720_113252_E15_concept_diagram,E15,complete,2026-07-20T11:32:52+08:00,2026-07-20T11:32:53+08:00,1.250,empirical/runs/20260720_113252_E15_concept_diagram,"Python/Matplotlib wide and single-column diagrams separating the population estimand, finite-sample estimator bias, and design-conditioned randomization reference."
20260720_115049_S7_synthesis,S7,complete,2026-07-20T11:50:49+08:00,2026-07-20T11:50:49+08:00,0.025,empirical/runs/20260720_115049_S7_synthesis,Read-only manuscript synthesis from accepted E12--E15 runs; generated LaTeX tables/macros and copied seven hash-verified Python-generated figure PDFs.
20260722_201832_S16_1_design_freeze,S16.1,design_frozen,2026-07-22T20:18:32+08:00,2026-07-22T20:18:32+08:00,0.000,empirical/runs/20260722_201832_S16_1_design_freeze,Design-only freeze for three-axis spatial; temporal; and sample-size analysis. No data processing; estimation; figure generation; or manuscript modification.
20260722_203209_E16_S16_2_multiscale_panel,S16.2,complete,2026-07-22T20:32:53+08:00,2026-07-22T20:34:31+08:00,97.526,empirical/runs/20260722_203209_E16_S16_2_multiscale_panel,Built 18 nested common-core spatial-temporal panels from accepted standardized events; exact cross-scale conservation and E02 reconciliation passed; no entropy or DELB estimated.
20260723_100058_E16_S16_3_sample_indices,S16.3,complete,2026-07-23T10:00:58+08:00,2026-07-23T10:01:03+08:00,5.283,empirical/runs/20260723_100058_E16_S16_3_sample_indices,Generated synchronized nested block-thinning indices and expanding historical windows for five sample fractions; no entropy; CMI; DELB; randomization; or prediction estimation.
20260723_101413_E16_S16_4_delb_estimation,S16.4,complete,2026-07-23T10:14:13+08:00,2026-07-23T10:15:07+08:00,54.796,empirical/runs/20260723_101413_E16_S16_4_delb_estimation,Estimated plugin/MM conditional entropies; CMI; exact and closed-form DELBs; support diagnostics; expanding windows; and paired full-sample block bootstrap across the frozen three-axis design.
20260723_102411_E16_S16_5_scale_normalization,S16.5,complete,2026-07-23T10:24:11+08:00,2026-07-23T10:24:14+08:00,3.329,empirical/runs/20260723_102411_E16_S16_5_scale_normalization,Applied deterministic area-time normalization; summarized sample-size stability; retained paired block-bootstrap intervals; and generated all formal figures with saved Python code.
20260723_104215_E16_S16_6_randomization,S16.6,complete,2026-07-23T10:42:15+08:00,2026-07-23T10:45:19+08:00,183.828,empirical/runs/20260723_104215_E16_S16_6_randomization,Calibrated all 90 multiscale sample cells with frozen 199/999 temporal-block; spatial-series; and circular-shift references; all figures generated with saved Python code.
20260723_110334_E16_S16_7_manuscript_synthesis,S16.7,complete,2026-07-23T11:03:34+08:00,2026-07-23T11:08:52+08:00,0.114,empirical/runs/20260723_110334_E16_S16_7_manuscript_synthesis,Read-only synthesis of accepted S16.5--S16.6 outputs; generated three LaTeX artifacts; copied 12 hash-verified Python figures; synchronized English and Chinese manuscripts; 107 tests and PDF visual QA passed.
20260727_144414_E17_estimator_domain_sensitivity,E17,complete,2026-07-27T14:44:14.436970+08:00,2026-07-27T14:49:36.536351+08:00,322.099,empirical/runs/20260727_144414_E17_estimator_domain_sensitivity,City-level plugin; Miller--Madow; and observed-support Jeffreys--Dirichlet randomization calibration with within-estimator nine-test and global 27-test FDR adjustment; training-period-frozen analysis-domain sensitivity; Python-generated figures.
