latex_asset,figure_number,figure_label,latex_source,canonical_python,entry_point,config,upstream_data,production_note,verified
figures/e17/e04_domain_sensitivity.pdf,Figure S2,fig:sup_frozen_domain,sections/supplement_results.tex,empirical/src/entropy_crime_bike/manuscript_six_item_figures.py,empirical/run_manuscript_six_item_figures.py,NONE,E04 and E17 frozen-domain summaries,Layout-only regeneration from accepted E04/E17 outputs,2026-07-29
figures/e11/e05_local_delb_reduction_maps.pdf,Figure S3,fig:local_delb_maps,sections/supplement_results.tex,empirical/src/entropy_crime_bike/manuscript_figure_layout.py,empirical/run_manuscript_figure_layout.py,NONE,E02 grid geometry and E05 local_information tables,Layout-only regeneration from accepted E02/E05 outputs,2026-07-29
figures/e11/e10_distant_lags.pdf,Figure S4,fig:distant_lags,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e10_placebo.py,empirical/src/entropy_crime_bike/e10_placebo.py,empirical/config/e10.yaml,E10 recent and distant lag city summaries,Generated in E10 then selected by E11 synthesis,2026-07-29
figures/e16/e16_s16_5_sample_stability.pdf,Figure S5,fig:e16_sample_stability,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e16_scale_normalization.py,empirical/run_e16_scale_normalization.py,empirical/config/e16.yaml,E16 DELB estimates and frozen thinning indices,Generated during S16.5,2026-07-29
figures/e16/e16_s16_5_full_sample_intensity_heatmap.pdf,Figure S6,fig:e16_intensity_heatmap,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e16_scale_normalization.py,empirical/run_e16_scale_normalization.py,empirical/config/e16.yaml,E16 full-sample DELB estimates and area-time normalization,Generated during S16.5,2026-07-29
figures/e16/e16_s16_6_key_scale_pvalues.pdf,Figure S7,fig:e16_key_pvalues,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e16_randomization_calibration.py,empirical/run_e16_randomization_calibration.py,empirical/config/e16.yaml,E16 observed statistics and 199/999 surrogate summaries,Generated during S16.6,2026-07-29
figures/e16/e16_s16_6_observed_vs_null.pdf,Figure S8,fig:e16_observed_null,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e16_randomization_calibration.py,empirical/run_e16_randomization_calibration.py,empirical/config/e16.yaml,E16 observed and randomization-reference summaries,Generated during S16.6,2026-07-29
figures/e19/supp_e19_support_complexity.pdf,Figure S9,fig:e19_support_complexity,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e19_figures.py,empirical/run_e19_figures.py,empirical/config/e19.yaml,E19 support_complexity.csv,Generated from frozen E19 result tables,2026-07-29
figures/e19/supp_e19_scale_sample_heatmaps.pdf,Figure S10,fig:e19_scale_sample_heatmaps,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e19_figures.py,empirical/run_e19_figures.py,empirical/config/e19.yaml,E19 truth-referenced RMSE summaries,Generated from frozen E19 result tables,2026-07-29
figures/e11/e08_crime_type_delb_reduction.pdf,Figure S11,fig:crime_type_delb,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e08_crime_type_heterogeneity.py,empirical/run_e08_crime_type_heterogeneity.py,empirical/config/e08.yaml,E02 category panels plus E04 thresholds and E08 bootstrap,Generated in E08 then selected by E11 synthesis,2026-07-29
figures/e11/e09_rolling_origins.pdf,Figure S12,fig:rolling_origins,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e09_robustness.py,empirical/src/entropy_crime_bike/e09_robustness.py,empirical/config/e09.yaml,E02 panels plus E04/E06 frozen settings and E09 rolling results,Generated in E09 then selected by E11 synthesis,2026-07-29
figures/e11/e02_spatial_patterns.pdf,Figure S13,fig:spatial_patterns,sections/supplement_results.tex,empirical/src/entropy_crime_bike/manuscript_figure_layout.py,empirical/run_manuscript_figure_layout.py,NONE,E02 spatial_summary.csv and grid geometry,Layout-only regeneration from accepted E02 outputs,2026-07-29
figures/e11/e02_monthly_patterns.png,Figure S14,fig:monthly_patterns,sections/supplement_results.tex,empirical/src/entropy_crime_bike/report_e02.py,empirical/run_e02_reporting.py,empirical/config/e02.yaml,E02 complete grid-day panels,Generated by E02 reporting then selected by E11 synthesis,2026-07-29
figures/s7/e12_bias_rmse_supplement.pdf,Figure S15,fig:e12_bias_supplement,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e12_cmi_simulation.py,empirical/run_e12_cmi_simulation.py,empirical/config/e12.yaml,E12 complete simulation grid,Generated in E12 then copied by S7 synthesis,2026-07-29
figures/s7/e13_support_metrics_supplement.pdf,Figure S16,fig:e13_support_supplement,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e13_support_null.py,empirical/run_e13_support_null.py,empirical/config/e13.yaml,E12 simulation and E10 empirical surrogate-support summaries,Generated in E13 then copied by S7 synthesis,2026-07-29
figures/s7/e13_support_null_main.pdf,Figure S17,fig:e13_support_null,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e13_support_null.py,empirical/run_e13_support_null.py,empirical/config/e13.yaml,E12 simulation plus E02/E05/E10 support summaries,Generated in E13 then copied by S7 synthesis,2026-07-29
figures/e11/e07_gap_narrowing.pdf,Figure S18,fig:gap_narrowing,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e07_theory_practice.py,empirical/run_e07_theory_practice.py,empirical/config/e07.yaml,E02/E04/E05/E06 matched test-window results,Generated in E07 then selected by E11 synthesis,2026-07-29
figures/s7/e14_fano_bootstrap.pdf,Figure S19,fig:e14_bootstrap_supplement,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e14_fano_validation.py,empirical/run_e14_fano_validation.py,empirical/config/e14.yaml,E02 panels plus E04 training thresholds and E14 bootstrap,Generated in E14 then copied by S7 synthesis,2026-07-29
figures/s7/e14_fano_main.pdf,Figure S20,fig:e14_fano,sections/supplement_results.tex,empirical/src/entropy_crime_bike/e14_fano_validation.py,empirical/run_e14_fano_validation.py,empirical/config/e14.yaml,E12 oracle DGP plus E02/E04 empirical inputs,Generated in E14 then copied by S7 synthesis,2026-07-29
